Month,Variety,Density,Nitrogen,Sulphur,B02,B03,B04,B05,B08
5,Bologna,180,80,0,282,548,427.6666667,908.6666667,3253.333333
5,Bologna,180,80,1,282,538.3333333,426.3333333,884.6666667,3395
5,Bologna,180,135,0,223.3333333,436,282.6666667,936.6666667,4081.666667
5,Bologna,180,135,1,226.3333333,435.6666667,297,751.6666667,4007
5,Sieve,90,35,0,346,731,587,1192.666667,3171
5,Sieve,90,35,1,351.3333333,746.3333333,617.3333333,1208.666667,2928.666667
5,Sieve,90,80,0,311.6666667,696,434.3333333,1075,3954
5,Sieve,90,80,1,307,670.6666667,440.6666667,1072.333333,3747
5,Sieve,90,135,0,310,558,318,941.3333333,4761.666667
5,Sieve,90,135,1,250.3333333,508,248,912,4969.666667
5,Sieve,180,35,0,321,694.3333333,575,1181.666667,2811.333333
5,Sieve,180,35,1,341.6666667,742.3333333,613.3333333,1181.666667,2861
5,Sieve,180,80,0,276.3333333,612.3333333,331.6666667,1030,4135.666667
5,Sieve,180,80,1,280.3333333,626.3333333,356.6666667,1072.333333,3994
5,Sieve,180,135,0,238,482.3333333,243.3333333,889,5239
5,Sieve,180,135,1,247.6666667,495.3333333,243.6666667,912,5153
5,Verna,90,35,0,486,871.3333333,772,1290.666667,2627
5,Verna,90,35,1,503.3333333,884.6666667,810.6666667,1302.333333,2454
5,Verna,90,80,0,391,774.3333333,517.6666667,1139,3506.666667
5,Verna,90,80,1,370.6666667,759.3333333,520.6666667,1156,3509.333333
5,Verna,90,135,0,279.6666667,555,287,883.6666667,5104.666667
5,Verna,90,135,1,273.3333333,545.6666667,264.3333333,1074,5365
5,Verna,180,35,0,480.6666667,837.6666667,804.6666667,1414.333333,2336.333333
5,Verna,180,35,1,481.6666667,873.6666667,798,1382.333333,2445.333333
5,Verna,180,80,0,433.6666667,764.3333333,642.3333333,1338,2815.666667
5,Verna,180,80,1,388,739.3333333,577.3333333,1242.333333,3078.666667
5,Verna,180,135,0,277,574.6666667,292.6666667,1026,5055
5,Verna,180,135,1,263.3333333,537,254.6666667,1026,5479.333333
6,Andriolo,90,35,0,395.3333333,746.3333333,702.3333333,1225.333333,3347.333333
6,Andriolo,90,35,1,367,749,684.6666667,1167.333333,3257.333333
6,Andriolo,90,80,0,440.6666667,862.3333333,776.3333333,1118,3393.666667
6,Andriolo,90,80,1,347,675,590,1101,3448
6,Andriolo,90,135,0,250.3333333,573.6666667,400,1046.333333,4091.666667
6,Andriolo,90,135,1,236,489.6666667,374,1097.333333,3851.666667
6,Andriolo,180,35,0,351,702.6666667,658,1167.333333,3116.666667
6,Andriolo,180,35,1,423,815.3333333,791,1167.333333,3138.333333
6,Andriolo,180,80,0,308.6666667,660.3333333,516,1105.666667,3400
6,Andriolo,180,80,1,306.3333333,627.3333333,525.6666667,1114.333333,3487.333333
6,Andriolo,180,135,0,195,469.3333333,257.6666667,985,4182.666667
6,Andriolo,180,135,1,202,441.6666667,274.3333333,979.6666667,4054.666667
6,Bologna,90,35,0,648.6666667,1167.666667,1475.333333,1090.333333,2955.666667
6,Bologna,90,35,1,559,1044.333333,1264,1019,3027.333333
6,Bologna,90,80,0,490.6666667,898.3333333,929,976.3333333,3386.333333
6,Bologna,90,80,1,563,1040,1100.666667,884.6666667,3341.333333
6,Bologna,90,135,0,347.6666667,690,612,893.6666667,3707.666667
6,Bologna,90,135,1,361.6666667,665.3333333,631,773.3333333,3507.666667
6,Bologna,180,35,0,528.6666667,964.6666667,1114,1000,2889
6,Bologna,180,35,1,536,1004.666667,1224,1000,2926.666667
6,Bologna,180,80,0,575.6666667,1074.666667,1220,908.6666667,3182.333333
6,Bologna,180,80,1,562.3333333,1013.666667,1097,884.6666667,3281.333333
6,Bologna,180,135,0,370.6666667,706.6666667,740,936.6666667,3347
6,Bologna,180,135,1,352.3333333,645.3333333,642.3333333,751.6666667,3440
6,Sieve,90,35,0,528.3333333,955.3333333,1006,1192.666667,2798.666667
6,Sieve,90,35,1,572,1022.333333,1087.666667,1208.666667,2749.666667
6,Sieve,90,80,0,400,797,688,1075,3421.333333
6,Sieve,90,80,1,429.6666667,803.3333333,738.6666667,1072.333333,3263.333333
6,Sieve,90,135,0,280.3333333,559,455,941.3333333,3717.333333
6,Sieve,90,135,1,267.3333333,516,421,912,3703
6,Sieve,180,35,0,524.3333333,978,1072,1181.666667,2653.666667
6,Sieve,180,35,1,550,1007.333333,1087.333333,1181.666667,2718.666667
6,Sieve,180,80,0,366.3333333,718,644.6666667,1030,3298.333333
6,Sieve,180,80,1,373.6666667,741,691.6666667,1072.333333,3297.666667
6,Sieve,180,135,0,249.6666667,491.3333333,380,889,3684.333333
6,Sieve,180,135,1,246.6666667,476.3333333,395.3333333,912,3686
6,Verna,90,35,0,788,1233.333333,1269,1290.666667,2858.666667
6,Verna,90,35,1,889.6666667,1333,1406.666667,1302.333333,2658.666667
6,Verna,90,80,0,605,1038.333333,1047.666667,1139,3090.666667
6,Verna,90,80,1,635,1019.333333,1067.333333,1156,3005.333333
6,Verna,90,135,0,305.6666667,553.6666667,507.6666667,883.6666667,3572.666667
6,Verna,90,135,1,283.6666667,540,474.3333333,1074,3437
6,Verna,180,35,0,971,1355.666667,1557.333333,1414.333333,2466.666667
6,Verna,180,35,1,896,1342.333333,1445.666667,1382.333333,2617
6,Verna,180,80,0,836,1201.333333,1415.333333,1338,2671.666667
6,Verna,180,80,1,739.6666667,1124,1267.666667,1242.333333,2741.333333
6,Verna,180,135,0,303.6666667,582,510,1026,3370
6,Verna,180,135,1,268.6666667,497,435,1026,3421.666667
7,Andriolo,90,35,0,506.3333333,811,1219.333333,1529,2124
7,Andriolo,90,35,1,576.3333333,876,1368.666667,1624.333333,2007.666667
7,Andriolo,90,80,0,522.6666667,798.3333333,1230.666667,1560.666667,2139.333333
7,Andriolo,90,80,1,506,836.3333333,1350.666667,1590.666667,2061.666667
7,Andriolo,90,135,0,502.3333333,845.3333333,1326.666667,1615.333333,2437
7,Andriolo,90,135,1,500,861,1388,1656,2507.333333
7,Andriolo,180,35,0,684.6666667,955,1437.666667,1624.333333,2198
7,Andriolo,180,35,1,770.3333333,1002.333333,1426.333333,1624.333333,2230.333333
7,Andriolo,180,80,0,570.3333333,930.6666667,1489.666667,1803.333333,2167.333333
7,Andriolo,180,80,1,525,898.3333333,1448.333333,1651.333333,2116.666667
7,Andriolo,180,135,0,666.6666667,1058.666667,1747,2004.666667,2622.666667
7,Andriolo,180,135,1,620.3333333,1018,1663,1935.666667,2530.333333
7,Bologna,90,35,0,1360.666667,1569,1800.333333,2027.333333,2896.333333
7,Bologna,90,35,1,1178.333333,1342,1626.666667,1881.666667,2638.333333
7,Bologna,90,80,0,709,1055,1539.333333,1879.333333,2205.333333
7,Bologna,90,80,1,722.6666667,1071,1537,1711,2083.666667
7,Bologna,90,135,0,581.6666667,932,1384.666667,1624,2157
7,Bologna,90,135,1,609,929.6666667,1379,1641,2030
7,Bologna,180,35,0,1109.666667,1245.333333,1521.666667,1828.333333,2473
7,Bologna,180,35,1,1228.333333,1352,1584.666667,1828.333333,2639.333333
7,Bologna,180,80,0,712.6666667,1030.666667,1418,1694,2023.333333
7,Bologna,180,80,1,717.6666667,1062,1507,1711,2056
7,Bologna,180,135,0,572,871.6666667,1328.333333,1500.333333,1956
7,Bologna,180,135,1,576,893.6666667,1348,1611,1982.333333
7,Sieve,90,35,0,1024.333333,1385.333333,1877.333333,2019.666667,2641
7,Sieve,90,35,1,1303.333333,1602.333333,1962,2210,2953.666667
7,Sieve,90,80,0,848.6666667,1312.333333,1938,2131,2649.333333
7,Sieve,90,80,1,895.6666667,1322,1974,2116,2614
7,Sieve,90,135,0,494.6666667,807.6666667,1319,1690.666667,2078.666667
7,Sieve,90,135,1,404,717.6666667,1215,1539,1994.333333
7,Sieve,180,35,0,1289.333333,1559,2006,2231.666667,2935
7,Sieve,180,35,1,1322,1585.666667,2004.333333,2231.666667,2967.666667
7,Sieve,180,80,0,819,1253.333333,1866.666667,2058.333333,2589.666667
7,Sieve,180,80,1,804.6666667,1278,1859,2116,2566.333333
7,Sieve,180,135,0,426,731.3333333,1257.666667,1568.333333,2042.666667
